boutique,code_postal,client_anciennete,frequence_visites,captation,causes_achats,produit_prefere,produits_moins_connus,client_internet,volonte_boutique_proche,lat,lon,lat_boutique,lon_boutique
Biarritz,63690,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Gateau basque,Je ne sais pas,Non,oui,45.5503295625,2.58099131875,43.47114375,-1.552726590666314
Biarritz,64100,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour faire un cadeau,Autres,Je ne sais pas,Non,sans_avis,43.48437155,-1.4718677782037943,43.47114375,-1.552726590666314
Biarritz,40170,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Mouchous,Autres,oui,oui,3.114667172689076,101.46779406428573,43.47114375,-1.552726590666314
Biarritz,64200,Depuis quelques annees,regulier,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau,Chocolat,Gateau basque noisette,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64200,Depuis quelques annees,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau,Autres,Autres,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Biarritz,64600,Depuis quelques annees,regulier,bouche a oreille,pour me faire plaisir; pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Mouchous,Je ne sais pas,Non,sans_avis,43.4897459,-1.5197091473862367,43.47114375,-1.552726590666314
Biarritz,64200,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Mouchous,Autres,Non,sans_avis,43.47642489353933,-1.5518984025280895,43.47114375,-1.552726590666314
Socoa,64122,Depuis toujours,exceptionelle,"avec vos parents, votre famille",pour faire un cadeau; quand je reçois du monde ou quand je suis invitee,Autres,Gateau basque aux agrumes,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,73550,Depuis quelques annees,exceptionelle,bouche a oreille,pour faire un cadeau,Gateau basque,Je ne sais pas,Non,Non,48.75132145,9.826928837674307,48.825983,2.3606487
Socoa,64100,Depuis quelques annees,regulier,"avec vos parents, votre famille",quand je reçois du monde ou quand je suis invitee,Autres,Autres,Non,sans_avis,43.48437155,-1.4718677782037943,48.825983,2.3606487
Socoa,64122,Depuis quelques annees,regulier,"avec vos parents, votre famille",pour faire un cadeau,Mouchous,Je ne sais pas,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,64122,Depuis quelques annees,regulier,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau,Autres,Autres,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,64990,Depuis moins d'un an,regulier,par hasard en passant devant,pour me faire plaisir; pour regaler ma famille; pour faire un cadeau,Autres,Espelines,Non,sans_avis,43.46064595,-1.4282576589489366,48.825983,2.3606487
Socoa,64122,Depuis quelques annees,regulier,"avec vos parents, votre famille",pour me faire plaisir,Kanougas,Autres,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,64200,Depuis quelques annees,regulier,bouche a oreille,pour me faire plaisir; pour faire un cadeau,Autres,Je ne sais pas,oui,sans_avis,43.47642489353933,-1.5518984025280895,48.825983,2.3606487
Socoa,Londres,Depuis quelques annees,exceptionelle,"avec vos parents, votre famille",pour me faire plaisir; pour regaler ma famille,Gateau basque,Je ne sais pas,Non,sans_avis,51.5073219,-0.1276474,48.825983,2.3606487
Socoa,64122,Depuis toujours,regulier,"avec vos parents, votre famille",pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,sans_avis,43.36781597432432,-1.70349487027027,48.825983,2.3606487
Socoa,82000,Depuis moins d'un an,exceptionelle,bouche a oreille,pour me faire plaisir; pour regaler ma famille; quand je reçois du monde ou quand je suis invitee,Kanougas,Autres,Non,oui,44.01662096938776,1.3605334556122448,48.825983,2.3606487
Socoa,14000,C’est une de mes premieres visites,exceptionelle,par hasard en passant devant,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,oui,23.077612566666662,-82.3101291,48.825983,2.3606487
Socoa,86000,C’est une de mes premieres visites,exceptionelle,bouche a oreille,pour faire un cadeau,Autres,Je ne sais pas,Non,oui,46.57452813414634,0.350303380699894,48.825983,2.3606487
Socoa,92000,Depuis moins d'un an,exceptionelle,bouche a oreille,pour me faire plaisir; pour faire un cadeau,Gateau basque,Je ne sais pas,Non,oui,48.89277833691774,2.207262274083251,48.825983,2.3606487
Socoa,13008,Depuis quelques annees,exceptionelle,bouche a oreille,pour me faire plaisir; pour faire un cadeau; Travail,Autres,Gateau basque aux agrumes,Non,oui,43.25408940240964,5.377607275903615,48.825983,2.3606487
